region	chr	midPos	Nsites	Fst01	Fst02	Fst12	PBS0	PBS1	PBS2
(16,165)(9651600,9651749)(9651600,9651750)	chr1	9651675	151	0.018706	0.010424	-0.003645	0.016500	0.002383	-0.006021
(166,315)(9651750,9651899)(9651750,9651900)	chr1	9651825	151	0.028435	0.041038	0.015309	0.027662	0.001185	0.014242
(316,367)(9651900,9651951)(9651900,9652050)	chr1	9651975	53	0.023799	0.033982	0.019077	0.019699	0.004388	0.014874
(368,389)(9688028,9688049)(9687900,9688050)	chr1	9687975	23	0.017398	0.024278	0.022979	0.009440	0.008110	0.015137
(390,539)(9688050,9688199)(9688050,9688200)	chr1	9688125	151	0.019604	0.029126	0.010624	0.019338	0.000461	0.010220
(540,689)(9688200,9688349)(9688200,9688350)	chr1	9688275	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(690,802)(9688350,9688462)(9688350,9688500)	chr1	9688425	114	0.127352	0.141946	0.012672	0.138279	-0.002056	0.014810
(803,833)(9691319,9691349)(9691200,9691350)	chr1	9691275	32	0.022611	0.024213	0.024740	0.011165	0.011706	0.013346
(834,983)(9691350,9691499)(9691350,9691500)	chr1	9691425	151	0.044422	0.027570	0.034144	0.019328	0.026111	0.008630
(984,1133)(9691500,9691649)(9691500,9691650)	chr1	9691575	151	0.007421	0.025641	0.025641	0.003724	0.003724	0.022251
(1134,1283)(9691650,9691799)(9691650,9691800)	chr1	9691725	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(1284,1433)(9691800,9691949)(9691800,9691950)	chr1	9691875	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(1434,1578)(9691950,9692094)(9691950,9692100)	chr1	9692025	146	0.003253	0.025258	0.018218	0.005228	-0.001969	0.020355
(1579,1627)(9710051,9710099)(9709950,9710100)	chr1	9710025	50	0.033650	0.024766	0.030566	0.014132	0.020097	0.010946
(1628,1777)(9710100,9710249)(9710100,9710250)	chr1	9710175	151	0.019453	0.025568	0.025690	0.009759	0.009885	0.016141
(1778,1927)(9710250,9710399)(9710250,9710400)	chr1	9710325	151	0.025634	0.025641	0.025641	0.012984	0.012984	0.012991
(1928,2077)(9710400,9710549)(9710400,9710550)	chr1	9710475	151	0.025640	0.025641	0.025641	0.012987	0.012987	0.012988
(2078,2227)(9710550,9710699)(9710550,9710700)	chr1	9710625	151	0.025437	0.025647	0.025161	0.013133	0.012633	0.012849
(2228,2273)(9710700,9710745)(9710700,9710850)	chr1	9710775	47	0.024755	0.025034	0.014022	0.018149	0.006918	0.007203
(2274,2379)(9715394,9715499)(9715350,9715500)	chr1	9715425	107	0.026813	0.038692	0.012385	0.027088	0.000090	0.012372
(2380,2529)(9715500,9715649)(9715500,9715650)	chr1	9715575	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(2530,2679)(9715650,9715799)(9715650,9715800)	chr1	9715725	151	0.025528	0.025641	0.025641	0.012930	0.012930	0.013046
(2680,2829)(9715800,9715949)(9715800,9715950)	chr1	9715875	151	0.025641	0.025641	0.025640	0.012988	0.012987	0.012988
(2830,2979)(9715950,9716099)(9715950,9716100)	chr1	9716025	151	0.025641	0.025640	0.025641	0.012987	0.012988	0.012987
(2980,3129)(9716100,9716249)(9716100,9716250)	chr1	9716175	151	0.025642	0.025643	0.025641	0.012990	0.012987	0.012988
(3130,3279)(9716250,9716399)(9716250,9716400)	chr1	9716325	151	-0.007798	0.346479	0.292797	0.035588	-0.043356	0.389793
(3280,3429)(9716400,9716549)(9716400,9716550)	chr1	9716475	151	0.025641	-0.007090	0.059612	-0.021276	0.047252	0.014211
(3430,3579)(9716550,9716699)(9716550,9716700)	chr1	9716625	151	0.025617	0.032386	0.040770	0.008624	0.017327	0.024298
(3580,3687)(9716700,9716849)(9716700,9716850)	chr1	9716775	109	0.003335	0.013458	0.014886	0.000946	0.002395	0.012603
(3688,3837)(9716850,9716999)(9716850,9717000)	chr1	9716925	151	0.009665	0.019292	0.015184	0.006946	0.002766	0.012534
(3838,3987)(9717000,9717149)(9717000,9717150)	chr1	9717075	151	0.025641	0.163018	0.142874	0.024879	0.001096	0.153074
(3988,4095)(9717150,9717257)(9717150,9717300)	chr1	9717225	109	0.007574	0.017203	0.007270	0.008829	-0.001227	0.008523
(4096,4155)(9717390,9717449)(9717300,9717450)	chr1	9717375	61	0.005847	0.022273	0.032097	-0.002117	0.007982	0.024642
(4156,4305)(9717450,9717599)(9717450,9717600)	chr1	9717525	151	0.004280	0.384317	0.287266	0.075332	-0.071043	0.409690
(4306,4455)(9717600,9717749)(9717600,9717750)	chr1	9717675	151	0.016104	0.000087	0.005880	0.005212	0.011023	-0.005125
(4456,4480)(9717750,9717774)(9717750,9717900)	chr1	9717825	26	0.006773	0.004681	0.024440	-0.006628	0.013424	0.011320
(4481,4584)(9718546,9718649)(9718500,9718650)	chr1	9718575	105	0.021398	0.020422	0.023837	0.009069	0.012561	0.011564
(4585,4734)(9718650,9718799)(9718650,9718800)	chr1	9718725	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(4735,4884)(9718800,9718949)(9718800,9718950)	chr1	9718875	151	0.025625	0.025641	0.025641	0.012979	0.012979	0.012996
(4885,4999)(9718950,9719064)(9718950,9719100)	chr1	9719025	116	0.002750	0.034613	0.033131	0.002144	0.000610	0.033082
(5000,5076)(9719773,9719849)(9719700,9719850)	chr1	9719775	78	0.064193	0.265753	0.077113	0.147504	-0.081158	0.161406
(5077,5226)(9719850,9719999)(9719850,9720000)	chr1	9719925	151	0.025639	0.025629	0.025637	0.012982	0.012991	0.012981
(5227,5376)(9720000,9720149)(9720000,9720150)	chr1	9720075	151	0.025641	0.025641	0.025642	0.012987	0.012988	0.012988
(5377,5526)(9720150,9720299)(9720150,9720300)	chr1	9720225	151	0.025638	0.025641	0.025640	0.012987	0.012986	0.012989
(5527,5676)(9720300,9720449)(9720300,9720450)	chr1	9720375	151	0.025099	0.025448	0.025599	0.012632	0.012787	0.013145
(5677,5826)(9720450,9720599)(9720450,9720600)	chr1	9720525	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(5827,5976)(9720600,9720749)(9720600,9720750)	chr1	9720675	151	0.025642	0.025641	0.025645	0.012986	0.012990	0.012989
(5977,6126)(9720750,9720899)(9720750,9720900)	chr1	9720825	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(6127,6276)(9720900,9721049)(9720900,9721050)	chr1	9720975	151	0.048179	0.024889	0.042433	0.015611	0.033767	0.009592
(6277,6426)(9721050,9721199)(9721050,9721200)	chr1	9721125	151	-0.009355	0.025640	0.025578	-0.004624	-0.004687	0.030599
(6427,6576)(9721200,9721349)(9721200,9721350)	chr1	9721275	151	0.025641	0.025637	0.025580	0.013017	0.012958	0.012954
(6577,6726)(9721350,9721499)(9721350,9721500)	chr1	9721425	151	0.157721	-0.000167	0.117277	0.023367	0.148277	-0.023533
(6727,6876)(9721500,9721649)(9721500,9721650)	chr1	9721575	151	0.025649	0.025651	0.025641	0.012997	0.012986	0.012989
(6877,7026)(9721650,9721799)(9721650,9721800)	chr1	9721725	151	0.025101	0.025641	0.025641	0.012711	0.012711	0.013265
(7027,7176)(9721800,9721949)(9721800,9721950)	chr1	9721875	151	0.025640	0.025640	0.025639	0.012988	0.012987	0.012987
(7177,7326)(9721950,9722099)(9721950,9722100)	chr1	9722025	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(7327,7476)(9722100,9722249)(9722100,9722250)	chr1	9722175	151	-0.009246	-0.009102	0.025640	-0.022119	0.012916	0.013059
(7477,7626)(9722250,9722399)(9722250,9722400)	chr1	9722325	151	0.025641	0.025641	0.025640	0.012988	0.012988	0.012987
(7627,7776)(9722400,9722549)(9722400,9722550)	chr1	9722475	151	0.132031	-0.007775	0.078159	0.026236	0.115364	-0.033981
(7777,7926)(9722550,9722699)(9722550,9722700)	chr1	9722625	151	0.013646	0.024433	0.024961	0.006599	0.007141	0.018137
(7927,7982)(9722700,9722755)(9722700,9722850)	chr1	9722775	57	0.004708	0.018928	0.028012	-0.002291	0.007010	0.021401
(7983,8004)(9722978,9722999)(9722850,9723000)	chr1	9722925	23	0.014668	0.024802	0.023061	0.008280	0.006497	0.016835
(8005,8154)(9723000,9723149)(9723000,9723150)	chr1	9723075	151	0.004858	0.021215	0.029998	-0.002072	0.006941	0.023516
(8155,8304)(9723150,9723299)(9723150,9723300)	chr1	9723225	151	0.025641	0.025640	0.025641	0.012987	0.012988	0.012987
(8305,8446)(9723300,9723441)(9723300,9723450)	chr1	9723375	143	0.018214	0.053109	0.033583	0.019396	-0.001015	0.035174
