chr	start	end	depth
CHR_HSCHR14_3_CTG1	321918	322575	
CHR_HSCHR14_3_CTG1	322615	323072	
CHR_HSCHR14_3_CTG1	323178	324056	
CHR_HSCHR5_1_CTG1_1	274880	275174	
CHR_HSCHR5_1_CTG1_1	288687	288898	
CHR_HSCHR5_1_CTG1_1	291237	291496	
CHR_HSCHR5_1_CTG1_1	292206	292546	
CHR_HSCHR5_1_CTG1_1	292566	292858	
CHR_HSCHR5_1_CTG1_1	294297	294741	
CHR_HSCHR5_1_CTG1_1	295912	296264	
CHR_HSCHR5_1_CTG1_1	296552	296800	
CHR_HSCHR5_1_CTG1_1	301791	303006	
CHR_HSCHR5_1_CTG1_1	303032	303917	
CHR_HSCHR5_1_CTG1_1	473420	473688	
CHR_HSCHR5_1_CTG1_1	487201	487412	
CHR_HSCHR5_1_CTG1_1	489751	490010	
CHR_HSCHR5_1_CTG1_1	490720	491060	
CHR_HSCHR5_1_CTG1_1	491080	491372	
CHR_HSCHR5_1_CTG1_1	492811	493261	
CHR_HSCHR5_1_CTG1_1	494428	494678	
CHR_HSCHR5_1_CTG1_1	495068	495258	
CHR_HSCHR5_1_CTG1_1	500302	500627	
CHR_HSCHR5_1_CTG1_1	500800	501516	
CHR_HSCHR5_1_CTG1_1	1117192	1117598	
CHR_HSCHR5_1_CTG1_1	1122775	1123036	
CHR_HSCHR5_1_CTG1_1	1126174	1126408	
CHR_HSCHR5_1_CTG1_1	1129563	1129804	
CHR_HSCHR5_1_CTG1_1	1132410	1133109	
CHR_HSCHR5_1_CTG1_1	1134260	1134512	
CHR_HSCHR5_2_CTG1_1	456778	457678	
CHR_HSCHR5_2_CTG1_1	457704	458919	
CHR_HSCHR5_2_CTG1_1	463905	464153	
CHR_HSCHR5_2_CTG1_1	464445	464793	
CHR_HSCHR5_2_CTG1_1	465964	466408	
CHR_HSCHR5_2_CTG1_1	467847	468139	
CHR_HSCHR5_2_CTG1_1	468159	468499	
CHR_HSCHR5_2_CTG1_1	469209	469468	
CHR_HSCHR5_2_CTG1_1	471807	472018	
CHR_HSCHR5_2_CTG1_1	485532	485800	
CHR_HSCHR5_2_CTG1_1	1585711	1586108	
CHR_HSCHR5_2_CTG1_1	1591285	1591546	
CHR_HSCHR5_2_CTG1_1	1594684	1594918	
CHR_HSCHR5_2_CTG1_1	1598073	1598314	
CHR_HSCHR5_2_CTG1_1	1600920	1601619	
CHR_HSCHR5_2_CTG1_1	1602770	1603022	
CHR_HSCHR6_MHC_COX_CTG1	3476549	3478226	
CHR_HSCHR6_MHC_COX_CTG1	3478256	3478596	
CHR_HSCHR6_MHC_COX_CTG1	3478657	3480061	
CHR_HSCHR6_MHC_DBB_CTG1	3253340	3254943	
CHR_HSCHR6_MHC_DBB_CTG1	3254973	3255314	
CHR_HSCHR6_MHC_DBB_CTG1	3255375	3256295	
CHR_HSCHR6_MHC_DBB_CTG1	3279635	3281312	
CHR_HSCHR6_MHC_DBB_CTG1	3281342	3281682	
CHR_HSCHR6_MHC_DBB_CTG1	3281743	3283147	
CHR_HSCHR6_MHC_MCF_CTG1	3350099	3350556	
CHR_HSCHR6_MHC_MCF_CTG1	3380264	3381937	
CHR_HSCHR6_MHC_MCF_CTG1	3381967	3382307	
CHR_HSCHR6_MHC_MCF_CTG1	3382368	3383772	
CHR_HSCHR6_MHC_QBL_CTG1	3116136	3116281	
CHR_HSCHR6_MHC_QBL_CTG1	3261462	3263139	
CHR_HSCHR6_MHC_QBL_CTG1	3263169	3263509	
CHR_HSCHR6_MHC_QBL_CTG1	3263570	3264974	
CHR_HSCHR6_MHC_SSTO_CTG1	3306754	3308357	
CHR_HSCHR6_MHC_SSTO_CTG1	3308387	3308728	
CHR_HSCHR6_MHC_SSTO_CTG1	3308789	3309708	
CHR_HSCHR6_MHC_SSTO_CTG1	3339417	3341091	
CHR_HSCHR6_MHC_SSTO_CTG1	3341121	3341461	
CHR_HSCHR6_MHC_SSTO_CTG1	3341522	3342926	
chr1	9688106	9688383	61.167238267148015
chr1	9691397	9691641	61.5938524590164
chr1	9710128	9710350	60.26554054054054
chr1	9710354	9710666	61.01362179487179
chr1	9715471	9716233	61.57851049868766
chr1	9716889	9717178	62.7757785467128
chr1	9718624	9718985	62.6356648199446
chr1	9719851	9720312	63.948969631236444
chr1	9721055	9721318	59.87804182509505
chr1	9721691	9722223	61.941729323308266
chr1	9722458	9722676	61.57201834862385
chr1	9723899	9724162	61.37794676806084
chr1	9724206	9724491	62.17280701754386
chr1	9724734	9725006	60.35919117647059
chr1	9726839	9729184	44.5008315565032
chr1	11785653	11790968	59.45952963311383
chr1	11791137	11791396	62.93996138996139
chr1	11792208	11792449	59.865041493775934
chr1	11793837	11794159	61.40163043478261
chr1	11794288	11794608	60.376875
chr1	11794659	11795418	60.35925559947299
chr1	11802811	11804602	57.92868509212731
chr1	11804929	11806006	58.86713091922005
chr1	23795529	23796077	61.76186131386861
chr1	23799296	23800874	49.63311153358681
chr1	23801815	23802634	61.73150183150183
chr1	23803518	23804595	58.84148096564532
chr1	23809217	23810869	49.024697336561744
chr1	23813762	23814408	60.221594427244575
chr1	23816296	23816840	61.229733455882354
chr1	23820440	23820663	62.65459641255605
chr1	23825286	23825529	60.63641975308642
chr1	23837994	23838690	61.63369252873563
chr1	32274667	32275325	62.19521276595744
chr1	32285444	32286235	61.27316687737042
chr1	33007870	33010903	58.464861523244316
chr1	33011378	33011780	63.33700248756219
chr1	33012974	33013472	61.77033132530121
chr1	33014295	33014664	63.45962059620596
chr1	33019613	33020231	60.992354368932034
chr1	33021523	33021773	63.482600000000005
chr1	33031474	33031731	62.054182879377436
chr1	33036666	33037062	63.33125
chr1	33080129	33080381	62.1750992063492
chr1	33080851	33081066	61.439418604651166
chr1	45507286	45507620	61.93420658682635
chr1	45508726	45513452	53.477264071096066
chr1	53196359	53197165	60.89717741935484
chr1	53199707	53204385	53.49205322787516
chr1	53207405	53211615	52.1149703087886
chr1	75724277	75724887	62.24631147540983
chr1	75728319	75728558	60.578242677824264
chr1	75732783	75733611	61.07195048309179
chr1	75745407	75745984	61.36789428076256
chr1	75749349	75749629	59.15883928571428
chr1	75750700	75750961	61.662356321839084
chr1	75769107	75769312	61.66439024390244
chr1	89524766	89525092	62.177070552147235
chr1	89526892	89527056	60.8875
chr1	89568171	89568377	60.755461165048544
chr1	89579521	89579758	60.439240506329114
chr1	89592701	89597934	53.87721192432639
chr1	89712639	89719603	55.979483773693275
chr1	89758787	89759010	62.58587443946188
chr1	89761933	89764588	46.65315442561205
chr1	89768148	89769973	45.66857534246576
chr1	89843353	89843852	60.83256513026053
chr1	89846510	89846728	61.519151376146795
chr1	89932997	89936681	50.51078990228013
chr1	100186849	100196492	57.5745514881261
chr1	100210473	100211194	60.22843273231623
chr1	100214747	100215053	60.51772875816994
chr1	100230663	100230984	60.78894080996885
chr1	112917108	112918114	58.64430914512923
chr1	112921920	112922462	62.38662361623616
chr1	112955206	112956133	61.95204962243797
chr1	112956769	112957083	62.162022292993626
