region	chr	midPos	Nsites	Fst01	Fst02	Fst12	PBS0	PBS1	PBS2
(16,165)(9651600,9651749)(9651600,9651750)	chr1	9651675	151	0.037864	0.039448	0.158995	-0.047155	0.085755	0.087402
(166,315)(9651750,9651899)(9651750,9651900)	chr1	9651825	151	0.022271	0.026950	0.031746	0.008791	0.013731	0.018529
(316,366)(9651900,9651950)(9651900,9652050)	chr1	9651975	52	0.026525	0.007698	0.020867	0.006761	0.020122	0.000966
(367,388)(9688028,9688049)(9687900,9688050)	chr1	9687975	23	0.021844	0.024404	0.022916	0.011805	0.010281	0.012902
(389,538)(9688050,9688199)(9688050,9688200)	chr1	9688125	151	0.010798	0.012279	0.019547	0.001736	0.009121	0.010619
(539,688)(9688200,9688349)(9688200,9688350)	chr1	9688275	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(689,801)(9688350,9688462)(9688350,9688500)	chr1	9688425	114	0.009733	0.055493	0.043317	0.011295	-0.001514	0.045797
(802,832)(9691319,9691349)(9691200,9691350)	chr1	9691275	32	0.024683	0.006863	0.025047	0.003257	0.021736	0.003630
(833,982)(9691350,9691499)(9691350,9691500)	chr1	9691425	151	0.010084	0.026040	0.022241	0.007014	0.003121	0.019371
(983,1132)(9691500,9691649)(9691500,9691650)	chr1	9691575	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(1133,1282)(9691650,9691799)(9691650,9691800)	chr1	9691725	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(1283,1432)(9691800,9691949)(9691800,9691950)	chr1	9691875	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(1433,1578)(9691950,9692095)(9691950,9692100)	chr1	9692025	147	0.014299	0.011504	0.020646	0.002555	0.011847	0.009016
(1579,1627)(9710051,9710099)(9709950,9710100)	chr1	9710025	50	0.024061	0.017578	0.032657	0.004444	0.019912	0.013291
(1628,1777)(9710100,9710249)(9710100,9710250)	chr1	9710175	151	0.027976	0.021502	0.024581	0.012611	0.015763	0.009125
(1778,1927)(9710250,9710399)(9710250,9710400)	chr1	9710325	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(1928,2077)(9710400,9710549)(9710400,9710550)	chr1	9710475	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(2078,2227)(9710550,9710699)(9710550,9710700)	chr1	9710625	151	0.042597	0.059033	0.027785	0.038100	0.005431	0.022748
(2228,2273)(9710700,9710745)(9710700,9710850)	chr1	9710775	47	0.024222	0.024775	0.016428	0.016521	0.007999	0.008566
(2274,2379)(9715394,9715499)(9715350,9715500)	chr1	9715425	107	0.060155	0.104258	0.022548	0.074669	-0.012628	0.035434
(2380,2529)(9715500,9715649)(9715500,9715650)	chr1	9715575	151	0.025565	0.025642	0.025641	0.012949	0.012948	0.013027
(2530,2679)(9715650,9715799)(9715650,9715800)	chr1	9715725	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(2680,2829)(9715800,9715949)(9715800,9715950)	chr1	9715875	151	0.025641	0.025640	0.025641	0.012987	0.012988	0.012987
(2830,2979)(9715950,9716099)(9715950,9716100)	chr1	9716025	151	0.025640	0.025641	0.025641	0.012988	0.012987	0.012988
(2980,3129)(9716100,9716249)(9716100,9716250)	chr1	9716175	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(3130,3279)(9716250,9716399)(9716250,9716400)	chr1	9716325	151	0.199728	0.171722	0.000240	0.205485	0.017319	-0.017079
(3280,3429)(9716400,9716549)(9716400,9716550)	chr1	9716475	151	0.025641	0.025637	0.025641	0.012986	0.012990	0.012986
(3430,3579)(9716550,9716699)(9716550,9716700)	chr1	9716625	151	0.025662	0.025620	0.024625	0.013508	0.012488	0.012446
(3580,3687)(9716700,9716849)(9716700,9716850)	chr1	9716775	109	0.011986	0.019623	0.018216	0.006746	0.005313	0.013072
(3688,3837)(9716850,9716999)(9716850,9717000)	chr1	9716925	151	-0.006495	0.004363	0.005616	-0.003867	-0.002607	0.008239
(3838,3987)(9717000,9717149)(9717000,9717150)	chr1	9717075	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(3988,4095)(9717150,9717257)(9717150,9717300)	chr1	9717225	109	0.026476	0.035512	0.018716	0.022049	0.004784	0.014109
(4096,4156)(9717389,9717449)(9717300,9717450)	chr1	9717375	62	0.018350	0.015978	0.022899	0.005731	0.012790	0.010376
(4157,4306)(9717450,9717599)(9717450,9717600)	chr1	9717525	151	0.022221	0.025277	0.024794	0.011483	0.010988	0.014118
(4307,4456)(9717600,9717749)(9717600,9717750)	chr1	9717675	151	0.005346	0.008142	0.003339	0.005095	0.000265	0.003080
(4457,4481)(9717750,9717774)(9717750,9717900)	chr1	9717825	26	0.024074	0.023129	0.014045	0.016813	0.007556	0.006588
(4482,4585)(9718546,9718649)(9718500,9718650)	chr1	9718575	105	0.011187	0.008664	0.013789	0.003034	0.008216	0.005668
(4586,4735)(9718650,9718799)(9718650,9718800)	chr1	9718725	151	0.025641	0.025641	0.025596	0.013011	0.012964	0.012964
(4736,4885)(9718800,9718949)(9718800,9718950)	chr1	9718875	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(4886,5000)(9718950,9719064)(9718950,9719100)	chr1	9719025	116	0.028720	0.025708	0.018115	0.018452	0.010689	0.007593
(5001,5076)(9719774,9719849)(9719700,9719850)	chr1	9719775	77	0.022515	0.069915	0.022195	0.036403	-0.013631	0.036076
(5077,5226)(9719850,9719999)(9719850,9720000)	chr1	9719925	151	0.025640	0.011778	0.025488	0.006002	0.019973	0.005846
(5227,5376)(9720000,9720149)(9720000,9720150)	chr1	9720075	151	0.025638	0.025641	0.025641	0.012986	0.012986	0.012989
(5377,5526)(9720150,9720299)(9720150,9720300)	chr1	9720225	151	0.025640	0.023321	0.025610	0.011814	0.014160	0.011783
(5527,5676)(9720300,9720449)(9720300,9720450)	chr1	9720375	151	0.025636	0.025551	0.024993	0.013271	0.012699	0.012611
(5677,5826)(9720450,9720599)(9720450,9720600)	chr1	9720525	151	0.028635	0.025786	0.025641	0.014601	0.014452	0.011524
(5827,5976)(9720600,9720749)(9720600,9720750)	chr1	9720675	151	0.025644	0.025641	0.025646	0.012987	0.012992	0.012989
(5977,6126)(9720750,9720899)(9720750,9720900)	chr1	9720825	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(6127,6276)(9720900,9721049)(9720900,9721050)	chr1	9720975	151	0.048767	0.027793	0.063349	0.006369	0.043627	0.021818
(6277,6426)(9721050,9721199)(9721050,9721200)	chr1	9721125	151	0.025573	0.023316	0.025613	0.011776	0.014130	0.011816
(6427,6576)(9721200,9721349)(9721200,9721350)	chr1	9721275	151	0.025641	0.025646	0.025642	0.012990	0.012986	0.012991
(6577,6726)(9721350,9721499)(9721350,9721500)	chr1	9721425	151	0.120204	-0.014013	0.107700	0.000098	0.127967	-0.014013
(6727,6876)(9721500,9721649)(9721500,9721650)	chr1	9721575	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(6877,7026)(9721650,9721799)(9721650,9721800)	chr1	9721725	151	0.025640	0.025631	0.025641	0.012982	0.012992	0.012983
(7027,7176)(9721800,9721949)(9721800,9721950)	chr1	9721875	151	0.000530	0.025641	0.025641	0.000265	0.000265	0.025711
(7177,7326)(9721950,9722099)(9721950,9722100)	chr1	9722025	151	0.025641	0.025638	0.025633	0.012990	0.012985	0.012982
(7327,7476)(9722100,9722249)(9722100,9722250)	chr1	9722175	151	0.025641	0.025641	0.025640	0.012988	0.012987	0.012987
(7477,7626)(9722250,9722399)(9722250,9722400)	chr1	9722325	151	0.025640	0.025641	0.025641	0.012987	0.012988	0.012988
(7627,7776)(9722400,9722549)(9722400,9722550)	chr1	9722475	151	0.078206	-0.010328	0.066882	0.000967	0.080466	-0.011242
(7777,7926)(9722550,9722699)(9722550,9722700)	chr1	9722625	151	0.018573	0.025496	0.025373	0.009437	0.009310	0.016390
(7927,7982)(9722700,9722755)(9722700,9722850)	chr1	9722775	57	0.198945	0.085612	0.027375	0.141784	0.080041	-0.052284
(7983,8004)(9722978,9722999)(9722850,9723000)	chr1	9722925	23	0.022710	0.025210	0.022197	0.013029	0.009943	0.012504
(8005,8154)(9723000,9723149)(9723000,9723150)	chr1	9723075	151	0.018852	0.016210	0.011217	0.012047	0.006985	0.004295
(8155,8304)(9723150,9723299)(9723150,9723300)	chr1	9723225	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
