region	chr	midPos	Nsites	Fst01	Fst02	Fst12	PBS0	PBS1	PBS2
(16,165)(9651600,9651749)(9651600,9651750)	chr1	9651675	151	0.043696	0.039448	0.192523	-0.064457	0.109136	0.104704
(166,315)(9651750,9651899)(9651750,9651900)	chr1	9651825	151	0.023737	0.026950	0.029512	0.010693	0.013330	0.016627
(316,366)(9651900,9651950)(9651900,9652050)	chr1	9651975	52	0.112406	0.007698	0.090349	0.016137	0.103104	-0.008409
(367,388)(9688028,9688049)(9687900,9688050)	chr1	9687975	23	0.024663	0.024404	0.024727	0.012320	0.012652	0.012386
(389,538)(9688050,9688199)(9688050,9688200)	chr1	9688125	151	0.013068	0.012279	0.021560	0.001857	0.011298	0.010498
(539,688)(9688200,9688349)(9688200,9688350)	chr1	9688275	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(689,801)(9688350,9688462)(9688350,9688500)	chr1	9688425	114	0.013884	0.055493	0.062270	0.003390	0.010591	0.053702
(802,832)(9691319,9691349)(9691200,9691350)	chr1	9691275	32	0.010175	0.006863	0.013224	0.001901	0.008326	0.004986
(833,982)(9691350,9691499)(9691350,9691500)	chr1	9691425	151	0.025351	0.026040	0.035368	0.008027	0.017651	0.018358
(983,1132)(9691500,9691649)(9691500,9691650)	chr1	9691575	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(1133,1282)(9691650,9691799)(9691650,9691800)	chr1	9691725	151	0.025640	0.025641	0.025641	0.012987	0.012988	0.012988
(1283,1432)(9691800,9691949)(9691800,9691950)	chr1	9691875	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(1433,1578)(9691950,9692095)(9691950,9692100)	chr1	9692025	147	0.029389	0.011504	0.025507	0.007781	0.022049	0.003790
(1579,1627)(9710051,9710099)(9709950,9710100)	chr1	9710025	50	0.026606	0.017578	0.024436	0.009981	0.016986	0.007753
(1628,1777)(9710100,9710249)(9710100,9710250)	chr1	9710175	151	0.015993	0.021502	0.012480	0.012650	0.003472	0.009086
(1778,1927)(9710250,9710399)(9710250,9710400)	chr1	9710325	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(1928,2077)(9710400,9710549)(9710400,9710550)	chr1	9710475	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(2078,2227)(9710550,9710699)(9710550,9710700)	chr1	9710625	151	0.090313	0.059033	0.037176	0.058809	0.035846	0.002039
(2228,2273)(9710700,9710745)(9710700,9710850)	chr1	9710775	47	0.017547	0.024775	0.025211	0.008628	0.009075	0.016460
(2274,2380)(9715393,9715499)(9715350,9715500)	chr1	9715425	108	0.101287	0.104121	0.032070	0.092073	0.014718	0.017877
(2381,2530)(9715500,9715649)(9715500,9715650)	chr1	9715575	151	0.025641	0.025642	0.025640	0.012989	0.012987	0.012988
(2531,2680)(9715650,9715799)(9715650,9715800)	chr1	9715725	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(2681,2830)(9715800,9715949)(9715800,9715950)	chr1	9715875	151	0.025640	0.025640	0.025641	0.012987	0.012988	0.012988
(2831,2980)(9715950,9716099)(9715950,9716100)	chr1	9716025	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(2981,3130)(9716100,9716249)(9716100,9716250)	chr1	9716175	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(3131,3280)(9716250,9716399)(9716250,9716400)	chr1	9716325	151	-0.004309	0.171722	0.275901	-0.069360	0.065061	0.257767
(3281,3430)(9716400,9716549)(9716400,9716550)	chr1	9716475	151	0.076382	0.025637	0.076238	0.013064	0.066393	0.012907
(3431,3580)(9716550,9716699)(9716550,9716700)	chr1	9716625	151	0.039939	0.025620	0.040378	0.012749	0.028010	0.013205
(3581,3688)(9716700,9716849)(9716700,9716850)	chr1	9716775	109	0.019427	0.019623	0.024690	0.007218	0.012400	0.012600
(3689,3838)(9716850,9716999)(9716850,9717000)	chr1	9716925	151	0.025626	0.004363	0.010787	0.009744	0.016216	-0.005371
(3839,3988)(9717000,9717149)(9717000,9717150)	chr1	9717075	151	0.152225	0.025641	0.149179	0.014781	0.150359	0.011194
(3989,4096)(9717150,9717257)(9717150,9717300)	chr1	9717225	109	0.015234	0.035512	0.025715	0.012729	0.002622	0.023429
(4097,4157)(9717389,9717449)(9717300,9717450)	chr1	9717375	62	0.022971	0.015978	0.024930	0.007050	0.016189	0.009057
(4158,4307)(9717450,9717599)(9717450,9717600)	chr1	9717525	151	0.325583	0.025277	0.243514	0.070218	0.323688	-0.044616
(4308,4457)(9717600,9717749)(9717600,9717750)	chr1	9717675	151	0.016239	0.008142	-0.000035	0.012291	0.004081	-0.004116
(4458,4483)(9717750,9717775)(9717750,9717900)	chr1	9717825	27	0.001315	0.023117	0.023454	0.000485	0.000830	0.022903
(4484,4587)(9718546,9718649)(9718500,9718650)	chr1	9718575	105	0.022987	0.008664	0.015798	0.008017	0.015239	0.000685
(4588,4737)(9718650,9718799)(9718650,9718800)	chr1	9718725	151	0.021851	0.025641	0.025642	0.011046	0.011047	0.014929
(4738,4887)(9718800,9718949)(9718800,9718950)	chr1	9718875	151	0.025641	0.025641	0.025640	0.012988	0.012987	0.012987
(4888,5002)(9718950,9719064)(9718950,9719100)	chr1	9719025	116	0.022036	0.025708	0.031019	0.008409	0.013874	0.017636
(5003,5078)(9719774,9719849)(9719700,9719850)	chr1	9719775	77	0.018619	0.069915	0.150045	-0.035649	0.054443	0.108128
(5079,5228)(9719850,9719999)(9719850,9720000)	chr1	9719925	151	0.025642	0.011778	0.025524	0.005985	0.019992	0.005863
(5229,5378)(9720000,9720149)(9720000,9720150)	chr1	9720075	151	0.025642	0.025641	-0.019333	0.035550	-0.009574	-0.009575
(5379,5528)(9720150,9720299)(9720150,9720300)	chr1	9720225	151	0.025053	0.023321	0.025537	0.011551	0.013822	0.012047
(5529,5678)(9720300,9720449)(9720300,9720450)	chr1	9720375	151	0.025623	0.025551	0.025221	0.013147	0.012809	0.012735
(5679,5828)(9720450,9720599)(9720450,9720600)	chr1	9720525	151	0.025786	0.025786	0.025640	0.013137	0.012987	0.012987
(5829,5978)(9720600,9720749)(9720600,9720750)	chr1	9720675	151	0.025641	0.025641	0.025641	0.012988	0.012987	0.012987
(5979,6128)(9720750,9720899)(9720750,9720900)	chr1	9720825	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(6129,6278)(9720900,9721049)(9720900,9721050)	chr1	9720975	151	0.025154	0.027793	0.017920	0.017789	0.007686	0.010397
(6279,6428)(9721050,9721199)(9721050,9721200)	chr1	9721125	151	0.022833	0.023316	0.025303	0.010531	0.012567	0.013061
(6429,6578)(9721200,9721349)(9721200,9721350)	chr1	9721275	151	0.025387	0.025646	0.025638	0.012861	0.012854	0.013119
(6579,6728)(9721350,9721499)(9721350,9721500)	chr1	9721425	151	-0.021745	-0.014013	-0.012380	-0.011562	-0.009950	-0.002354
(6729,6878)(9721500,9721649)(9721500,9721650)	chr1	9721575	151	0.025641	0.025641	0.025638	0.012989	0.012986	0.012986
(6879,7028)(9721650,9721799)(9721650,9721800)	chr1	9721725	151	0.025640	0.025631	0.025639	0.012983	0.012991	0.012982
(7029,7178)(9721800,9721949)(9721800,9721950)	chr1	9721875	151	0.025640	0.025641	0.025641	0.012988	0.012987	0.012988
(7179,7328)(9721950,9722099)(9721950,9722100)	chr1	9722025	151	0.025641	0.025638	0.025641	0.012986	0.012989	0.012986
(7329,7478)(9722100,9722249)(9722100,9722250)	chr1	9722175	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(7479,7628)(9722250,9722399)(9722250,9722400)	chr1	9722325	151	0.025641	0.025641	0.025640	0.012988	0.012987	0.012987
(7629,7778)(9722400,9722549)(9722400,9722550)	chr1	9722475	151	-0.025542	-0.010328	-0.010294	-0.012627	-0.012594	0.002352
(7779,7928)(9722550,9722699)(9722550,9722700)	chr1	9722625	151	0.022483	0.025496	0.025564	0.011335	0.011404	0.014492
(7929,7984)(9722700,9722755)(9722700,9722850)	chr1	9722775	57	0.111315	0.085612	0.003239	0.102134	0.015878	-0.012634
(7985,8007)(9722977,9722999)(9722850,9723000)	chr1	9722925	24	0.023997	0.025095	0.025090	0.012148	0.012142	0.013268
(8008,8157)(9723000,9723149)(9723000,9723150)	chr1	9723075	151	0.038577	0.016210	0.025142	0.015110	0.024231	0.001232
(8158,8307)(9723150,9723299)(9723150,9723300)	chr1	9723225	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(8308,8449)(9723300,9723441)(9723300,9723450)	chr1	9723375	143	0.033839	0.021868	0.033952	0.010997	0.023427	0.011114
(8450,8528)(9723821,9723899)(9723750,9723900)	chr1	9723825	80	0.014323	0.009930	0.016379	0.003946	0.010481	0.006034
(8529,8678)(9723900,9724049)(9723900,9724050)	chr1	9723975	151	0.025747	0.025775	0.025640	0.013112	0.012973	0.013001
(8679,8828)(9724050,9724199)(9724050,9724200)	chr1	9724125	151	0.025641	0.025641	0.025640	0.012988	0.012988	0.012987
(8829,8978)(9724200,9724349)(9724200,9724350)	chr1	9724275	151	0.025641	0.025126	0.025501	0.012796	0.013180	0.012652
(8979,9128)(9724350,9724499)(9724350,9724500)	chr1	9724425	151	-0.002298	0.151467	0.266921	-0.074275	0.071980	0.238522
(9129,9199)(9724500,9724570)(9724500,9724650)	chr1	9724575	72	0.010123	0.025289	0.022735	0.006395	0.003779	0.019218
(9200,9343)(9724656,9724799)(9724650,9724800)	chr1	9724725	145	0.020757	0.028908	0.024662	0.012669	0.008306	0.016665
(9344,9493)(9724800,9724949)(9724800,9724950)	chr1	9724875	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(9494,9629)(9724950,9725085)(9724950,9725100)	chr1	9725025	137	0.016463	0.013408	0.012836	0.008590	0.008011	0.004909
(9630,9768)(9726761,9726899)(9726750,9726900)	chr1	9726825	140	0.023468	0.108026	0.052562	0.042036	-0.018288	0.072282
(9769,9918)(9726900,9727049)(9726900,9727050)	chr1	9726975	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012987
