region	chr	midPos	Nsites	Fst01	Fst02	Fst12	PBS0	PBS1	PBS2
(16,165)(9651600,9651749)(9651600,9651750)	chr1	9651675	151	0.093301	0.263355	0.039448	0.181673	-0.083728	0.123976
(166,315)(9651750,9651899)(9651750,9651900)	chr1	9651825	151	0.037120	0.045414	0.026950	0.028492	0.009334	0.017986
(316,366)(9651900,9651950)(9651900,9652050)	chr1	9651975	52	0.047985	0.048196	0.007698	0.045422	0.003753	0.003975
(367,388)(9688028,9688049)(9687900,9688050)	chr1	9687975	23	0.023441	0.023359	0.024404	0.011325	0.012395	0.012311
(389,538)(9688050,9688199)(9688050,9688200)	chr1	9688125	151	0.020796	0.021222	0.012279	0.015055	0.005960	0.006395
(539,688)(9688200,9688349)(9688200,9688350)	chr1	9688275	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(689,801)(9688350,9688462)(9688350,9688500)	chr1	9688425	114	0.140279	0.025384	0.055493	0.059884	0.091264	-0.034172
(802,832)(9691319,9691349)(9691200,9691350)	chr1	9691275	32	0.024573	0.024780	0.006863	0.021543	0.003337	0.003549
(833,982)(9691350,9691499)(9691350,9691500)	chr1	9691425	151	0.035545	0.044984	0.026040	0.027917	0.008275	0.018110
(983,1132)(9691500,9691649)(9691500,9691650)	chr1	9691575	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(1133,1282)(9691650,9691799)(9691650,9691800)	chr1	9691725	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(1283,1432)(9691800,9691949)(9691800,9691950)	chr1	9691875	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(1433,1577)(9691950,9692094)(9691950,9692100)	chr1	9692025	146	0.019538	0.025148	0.011479	0.016828	0.002904	0.008641
(1578,1626)(9710051,9710099)(9709950,9710100)	chr1	9710025	50	0.031182	0.024134	0.017578	0.019187	0.012492	0.005243
(1627,1776)(9710100,9710249)(9710100,9710250)	chr1	9710175	151	0.020511	0.025673	0.021502	0.012498	0.008226	0.013510
(1777,1926)(9710250,9710399)(9710250,9710400)	chr1	9710325	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(1927,2076)(9710400,9710549)(9710400,9710550)	chr1	9710475	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(2077,2226)(9710550,9710699)(9710550,9710700)	chr1	9710625	151	0.097220	0.018053	0.059033	0.029824	0.072453	-0.011605
(2227,2272)(9710700,9710745)(9710700,9710850)	chr1	9710775	47	0.025180	0.032758	0.024775	0.016861	0.008641	0.016446
(2273,2379)(9715393,9715499)(9715350,9715500)	chr1	9715425	108	0.091612	0.044458	0.104121	0.015805	0.080279	0.029672
(2380,2529)(9715500,9715649)(9715500,9715650)	chr1	9715575	151	0.025626	0.025642	0.025642	0.012980	0.012980	0.012997
(2530,2679)(9715650,9715799)(9715650,9715800)	chr1	9715725	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(2680,2829)(9715800,9715949)(9715800,9715950)	chr1	9715875	151	0.024625	0.025641	0.025640	0.012467	0.012466	0.013509
(2830,2979)(9715950,9716099)(9715950,9716100)	chr1	9716025	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(2980,3129)(9716100,9716249)(9716100,9716250)	chr1	9716175	151	0.025643	0.025643	0.025641	0.012990	0.012988	0.012987
(3130,3279)(9716250,9716399)(9716250,9716400)	chr1	9716325	151	0.241230	-0.012181	0.171722	0.037772	0.238285	-0.049879
(3280,3429)(9716400,9716549)(9716400,9716550)	chr1	9716475	151	0.025641	0.025641	0.025637	0.012990	0.012986	0.012986
(3430,3579)(9716550,9716699)(9716550,9716700)	chr1	9716625	151	0.023345	0.025185	0.025620	0.011588	0.012034	0.013920
(3580,3687)(9716700,9716849)(9716700,9716850)	chr1	9716775	109	0.014073	0.022203	0.019623	0.008404	0.005769	0.014049
(3688,3837)(9716850,9716999)(9716850,9717000)	chr1	9716925	151	0.015103	0.012675	0.004363	0.011801	0.003418	0.000955
(3838,3987)(9717000,9717149)(9717000,9717150)	chr1	9717075	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(3988,4095)(9717150,9717257)(9717150,9717300)	chr1	9717225	109	0.034684	0.019576	0.035512	0.009456	0.025843	0.010314
(4096,4155)(9717390,9717449)(9717300,9717450)	chr1	9717375	61	0.014122	0.012480	0.015958	0.005347	0.008875	0.007211
(4156,4305)(9717450,9717599)(9717450,9717600)	chr1	9717525	151	0.025491	0.025585	0.025277	0.013069	0.012753	0.012849
(4306,4455)(9717600,9717749)(9717600,9717750)	chr1	9717675	151	0.011290	0.010940	0.008142	0.007090	0.004265	0.003911
(4456,4481)(9717750,9717775)(9717750,9717900)	chr1	9717825	27	0.010651	0.008987	0.023117	-0.001827	0.012534	0.010854
(4482,4585)(9718546,9718649)(9718500,9718650)	chr1	9718575	105	0.022420	0.012921	0.008664	0.013489	0.009186	-0.000484
(4586,4735)(9718650,9718799)(9718650,9718800)	chr1	9718725	151	0.025641	0.025642	0.025641	0.012988	0.012987	0.012988
(4736,4885)(9718800,9718949)(9718800,9718950)	chr1	9718875	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(4886,5000)(9718950,9719064)(9718950,9719100)	chr1	9719025	116	0.023407	0.015036	0.025708	0.006395	0.017290	0.008755
(5001,5076)(9719774,9719849)(9719700,9719850)	chr1	9719775	77	0.150225	0.013874	0.069915	0.052138	0.110646	-0.038167
(5077,5226)(9719850,9719999)(9719850,9720000)	chr1	9719925	151	0.025638	0.025629	0.011778	0.020044	0.005928	0.005920
(5227,5376)(9720000,9720149)(9720000,9720150)	chr1	9720075	151	0.025641	0.025641	0.025641	0.012988	0.012988	0.012988
(5377,5526)(9720150,9720299)(9720150,9720300)	chr1	9720225	151	0.025583	0.025641	0.023321	0.014147	0.011769	0.011828
(5527,5676)(9720300,9720449)(9720300,9720450)	chr1	9720375	151	0.025628	0.025638	0.025551	0.013026	0.012936	0.012947
(5677,5826)(9720450,9720599)(9720450,9720600)	chr1	9720525	151	0.025799	0.025641	0.025786	0.012994	0.013143	0.012981
