chr	start	end	gene_name	exon_number	hit_type	hit_name	hit_region	percent_incorrect
chrX	31227848	31228099	DMD	Intronic	gene_type=lincRNA	AL732372.1	chr1:362686-362870	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	EIF4G3	chr1:20831747-20832029	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	MATN1	chr1:30441693-236035647	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	RYR2	chr1:237079787-237081261	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	CHRM3	chr1:239623460-239629522	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	RGS7	chr1:240972175-240972707	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	RGS7	chr1:241165290-241165569	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	KIF26B	chr1:245280755-245282014	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=antisense	AL390860.1	chr1:247725560-247726290	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	OR2G6	chr1:248514227-248514481	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=lincRNA	AL139125.1	chr10:7466841-44486693	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=transcribed_processed_pseudogene	CEP164P1	chr10:45026287-45026558	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	REEP3	chr10:63600462-115527757	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=lincRNA	AC087280.2	chr11:6850994-6851340	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=lincRNA	AC044810.3	chr11:7866595-7867051	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=TEC	AC131935.2	chr11:11712200-127288924	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	NTM	chr11:131508541-131508818	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	EIF2S3B	chr12:10520114-106123213	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	POLR3B	chr12:106471832-106472101	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	UBE3B	chr12:109492193-127288736	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=unprocessed_pseudogene	AL356585.4	chr13:10520114-105632583	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=rRNA	RF00002	chr14:11712200-93137791	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=unprocessed_pseudogene	AC138701.1	chr15:11712200-93137791	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	TXNDC11	chr16:11712200-93137791	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	DNAH9	chr17:11712200-93137791	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=lincRNA	AP005230.1	chr18:2251190-2252960	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	PTPRM	chr18:7652229-7652699	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	GNAL	chr18:11712200-93137791	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	ZNF823	chr19:11712200-93137791	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	SNTG2	chr2:970321-970819	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	SNTG2	chr2:1071166-1071574	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=processed_pseudogene	AC062028.1	chr2:10996064-232155208	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	DIS3L2	chr2:232176940-232181201	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	IQCA1	chr2:236411535-236411939	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	IQCA1	chr2:236437117-236438911	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	ATRN	chr20:3500075-3500600	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	PLCB1	chr20:8595036-8596118	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=lincRNA	LINC00687	chr20:11762838-67126840	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=lincRNA	AP001464.1	chr21:11762838-62638434	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=unprocessed_pseudogene	FRG1GP	chr22:11762838-62638434	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=lincRNA	LINC01266	chr3:697741-698555	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	SUMF1	chr3:4025247-4027877	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	SUMF1	chr3:4258658-4259065	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=lincRNA	AC069277.1	chr3:6547160-232153400	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=miRNA	MIR572	chr4:10824818-232153400	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	ADAMTS16	chr5:5216739-5217006	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=protein_coding	CDH12	chr5:22321168-22321491	64.17
chrX	31227848	31228099	DMD	Intronic	gene_type=lincRNA	LINC02109	chr5:29186743-29187006	64.17
